WineryName	Count
La Crema	11940
Beronia	11913
Silver Oak	11908
Louis M. Martini	11762
Emilio Moro	11740
Cousiño-Macul	11701
Belle Glos	11601
Woodbridge by Robert Mondavi	11369
Pago de Los Capellanes	11355
Ridge Vineyards	11347
Lan	11327
Nederburg	11299
Varvaglione	11164
Justin	11153
Cantina Zaccagnini	11085
Trimbach	11052
Kanonkop	11027
Carnivor	11001
JP. Chenet	10892
Viña Cobos	10738
Arzuaga	10688
R. López de Heredia Viña Tondonia	10630
Georges Duboeuf	10612
Matua	10508
Félix Solís	10465
La Vieille Ferme	10462
J. Lohr Vineyards & Wines	10416
Paul Jaboulet Aîné	10414
Frontera	10413
Bolla	10336
Matarromera	10318
Produttori del Barbaresco	10314
Conundrum	10285
Pago de Carraovejas	10191
Clos de los Siete	10164
Quinta do Crasto	10105
Luis Cañas	10024
Luigi Righetti	9939
Tinto Pesquera	9928
Opus One	9866
Barista	9847
La Linda	9808
Dark Horse	9695
Pasqua Vigneti e Cantine	9681
1000 Stories	9620
Pio Cesare	9616
Viu Manent	9437
Seghesio	9320
Batasiolo	9317
Mollydooker	9191
San Felice	9127
Terrazas de los Andes	9100
Gnarly Head	9015
Kim Crawford	9009
Joseph Phelps	8877
Argiolas	8828
Rombauer Vineyards	8768
Santa Julia	8739
Delas	8676
Vigneti del Salento	8670
Chateau Montelena	8634
Cortes de Cima	8618
Cecchi	8615
Boekenhoutskloof	8572
Niepoort	8561
Trio	8499
Crios	8498
Zuccardi	8431
Piccini	8423
Prunotto	8413
Don Melchor	8308
Alión	8258
Ravenswood	8195
Rodney Strong	8179
Santa Helena	8164
Casanova di Neri	8159
Wolf Blass	8124
Château Musar	8077
Tenuta Il Poggione	8065
Casa Madero	7972
Porca de Murca	7932
Château de Beaucastel	7865
Viña Maipo	7835
Carmen	7823
Matsu	7818
The Dreaming Tree	7815
Bodega Garzón	7706
Tenuta CastelGiocondo	7657
Pintia	7653
Castello Nipozzano	7650
Renato Ratti	7636
Porta 6	7609
The Hess Collection	7609
Terras Gauda	7606
Duckhorn	7583
Brancott Estate	7544
Catena Alta	7495
Bonterra	7481
Adega de Monção	7460
Col d'Orcia	7438
Casal Garcia	7420
Los Vascos	7414
Wines from Hahn Estate	7334
Saint Felicien	7325
L. A. Cetto	7275
Domaine Faiveley	7263
Famille Perrin	7258
Ricasoli	7245
Barone Montalto	7244
Bodegas Roda	7207
Meerlust	7182
Pulenta Estate	7167
Ménage à Trois	7135
Tenuta Sant'Antonio	7128
Aurora	7124
7 Deadly Wines	7119
Santa Ema	7115
Fattoria dei Barbi	6917
Bodegas Aragonesas	6892
Luca	6889
SIMI	6884
Cesari	6875
Casalforte	6832
Hardys	6814
Almaviva	6778
Lapostolle	6755
Renacer	6703
Terrunyo	6695
Fèlsina	6685
Fontodi	6661
Ogier	6651
Alta Vista	6631
Ferrari Carano	6628
Root 1	6615
Altos Ibéricos	6601
Santa Margherita	6600
Doppio Passo	6600
Château Giscours	6594
Feudi di San Gregorio	6508
Aveleda	6450
Argiano	6436
Navarro Correas	6428
Bodega del Fin del Mundo	6424
Masciarelli	6420
Montecillo	6410
McManis	6392
Federico Paternina	6371
Bodegas Mauro	6275
Latitud 33	6247
Bodegas Franco-Españolas	6246
Angélica Zapata	6245
Séptima	6190
Rocca delle Macìe	6140
Martin Codax	6129
Bodega Vistalba	6051
Pago del Cielo	6026
Grande Alberone	5994
Fonterutoli	5981
Santa Cristina	5974
Au Bon Climat	5953
Palacios Remondo	5930
Club des Sommeliers (Associados)	5928
Château Mont-Redon	5920
Bodegas Olarra	5915
Casas del Bosque	5912
Domini Veneti	5911
Cabriz	5882
G.D. Vajra	5855
Michele Chiarlo	5804
Finca Villacreces	5795
Borgogno	5786
Franciscan	5781
Pine Ridge	5757
Orin Swift	5756
Murphy-Goode	5694
Viña Las Perdices	5683
Ghost Pines	5649
Avignonesi	5635
Salton	5634
Carmelo Rodero	5624
Alma Negra	5610
Mascota Vineyards	5563
Travaglini	5542
Luis Felipe Edwards	5537
Château Talbot	5533
Spier	5489
Soalheiro	5478
Viña Real	5461
Anciano	5450
Aliança	5442
Decoy	5431
Conte di Campiano	5420
Tenuta Castiglioni	5418
Hacienda López de Haro	5416
Reguengos	5408
Hugel	5393
Tasca d'Almerita	5354
Nino Negri	5325
Monasterio de Las Vinas	5324
Toro de Piedra	5314
Ceretto	5314
Domaine du Vieux Télégraphe	5306
Caleo	5273
Château Lagrange	5258
Bouchard Aîné & Fils	5245
Herdade dos Grous	5239
Achaval-Ferrer	5229
Dominio de Pingus	5216
Imperial	5202
Ramos Pinto	5200
Wente Vineyards	5173
Honoro Vera	5148
Casa Silva	5131
Adega Cooperativa de Borba	5115
Calvet	5097
Caro (Catena and Rothschild)	5083
Frescobaldi	5064
Redwood Creek	5003
El Esteco	4972
Viña Pedrosa	4971
Cantina Valpantena	4960
Gran Passione	4955
Juggernaut	4922
Heitz Cellar	4912
Clos du Bois	4907
Pieropan	4907
JP Azeitão	4884
Domaine du Vieux Lazaret	4879
Baron Philippe de Rothschild	4845
Hacienda Monasterio	4834
Antaño	4771
Braida	4763
Neethlingshof Estate	4744
Caves Velhas	4742
Castello di Gabbiano	4728
St. Francis	4718
Hess Select	4717
Giacomo Fenocchio	4708
Château Carbonnieux	4698
Shafer	4648
Château Lynch-Bages	4637
Brazin	4626
Remelluri	4622
Domaine Zind Humbrecht	4601
Bertani	4571
Altos Las Hormigas	4564
Château Chasse-Spleen	4547
Far Niente	4546
Beaulieu Vineyard (BV)	4521
Andeluna	4478
La Braccesca	4473
Roche Mazet	4467
Columbia Crest	4462
Contino	4407
Casa Valduga	4400
Montresor	4398
Domaine Lafage	4375
Descendientes de J. Palacios	4352
Susana Balbo	4351
Castello di Ama	4351
Nativ	4349
Faust	4322
Poliziano	4316
Anselmo Mendes	4295
Masso Antico	4293
Emmolo	4293
Allesverloren	4287
Corvo	4286
Castaño	4274
Villa Annaberta	4272
Colossal	4271
Jordan	4263
Zeni	4235
Château Brane-Cantenac	4214
Bodegas Valdemar	4190
Santadi	4168
14 Hands	4156
KWV	4133
Escudo Rojo	4132
Los Haroldos	4117
Château Smith Haut-Lafitte	4117
Mar de Frades	4104
Quinta do Vale Meão	4100
Barton & Guestier	4098
Château Pichon Longueville Comtesse de Lalande	4096
Mark West	4076
Gascon	4069
Josh Cellars	4054
Castellare	4045
Bodegas Cosme Palacio	4029
Condado de Haza	4021
Brotte	4000
Fleur du Cap	3958
Château Léoville Poyferré	3941
Doña Dominga	3926
Quinta do Carmo	3918
Caparzo	3916
Marianne	3896
Melini	3891
Liberty School	3871
Château Pontet-Canet	3864
Umani Ronchi	3846
Ciconia	3845
Château La Nerthe	3843
Quintarelli Giuseppe	3828
Rupert & Rothschild	3814
Château Kefraya	3808
Frog's Leap	3789
Clos du Val	3750
Altesino	3749
Domaine Laroche	3743
Gustave Lorentz	3722
Château Pichon Baron	3715
Cos d'Estournel	3709
Kaiken	3709
Isole e Olena	3699
Château Gruaud Larose	3698
Cantine Leonardo da Vinci	3686
Viña Salceda	3663
Mirassou	3662
Freemark Abbey	3658
Marques de Tomares	3654
Groth	3651
La Chablisienne	3646
Paulo Laureano	3645
Alto Los Romeros	3642
Fattoria del Cerro	3632
Tilia	3621
Château Rauzan-Ségla	3616
Castello di Albola	3598
Vila Real	3594
Luna Argenta	3592
Château Lascombes	3589
Monte Real	3589
Viña Pomal	3585
Bodegas Lagunilla	3569
Poggio le Volpi	3569
Château Ksara	3567
Weingut Nik Weis-St. Urbans-Hof	3561
H3 Wines	3559
Bridlewood	3544
Sebastiani	3536
Grgich Hills	3527
Cantine due Palme	3527
Tenuta Luce	3520
Viña Mayor	3511
Frank Family	3508
Baron de Lestac	3507
Sartori di Verona	3506
Mastroberardino	3495
Château Margaux	3484
Cielo e Terra	3463
Ondarre	3459
Chateau Palmer	3455
Oberon	3454
Travessia	3451
Terre del Barolo	3432
Carlos Serres	3429
Masca del Tacco	3421
Wynns	3414
Lagarde	3404
Alexander Valley Vineyards	3401
Château Mouton Rothschild	3398
Quinta de Pancas	3383
Cantina di Negrar	3383
Biondi-Santi	3378
Edna Valley Vineyard	3377
Pacheca	3372
Sunrise	3362
Yalumba	3361
Dominus	3355
Leone de Castris	3353
Antiche Terre Venete	3348
Napa Cellars	3345
St. Michael-Eppan	3335
Goulart	3333
Golan Heights Winery	3329
Domaine Jean-Louis Chave	3328
Morandé	3309
Mazzei	3306
Vigneti del Vulture	3304
Barahonda	3296
Val di Suga	3290
Pera Doce	3281
Domaine de La Romanée-Conti	3269
Álvaro Palacios	3253
Illuminati	3246
Laroche	3242
Monte Antico	3241
Domaine de Chevalier	3232
Château Montrose	3228
Tedeschi	3222
Zabu	3211
Don Simón	3208
Joh. Jos. Prüm	3203
Château Potensac	3196
Vietti	3191
Barons de Rothschild (Lafite)	3189
Domaine Leflaive	3183
Terlan (Terlano)	3181
Camigliano	3174
Erath	3173
Torrevento	3168
Layer Cake	3167
Pagus Bisano	3152
Roodeberg	3132
Cakebread	3130
Taylors/Wakefield	3121
Tenuta Ulisse	3118
Raymond	3117
Mastrojanni	3109
Azpilicueta	3105
Château Calon-Ségur	3102
Union de Producteurs de Saint-Émilion	3098
Mouchão	3089
Château Grand-Puy-Lacoste	3089
Grão Vasco	3086
Château Pape Clément	3078
Château Léoville Las Cases	3075
Château Cantemerle	3058
Angeline	3053
Bersano	3053
Château Citran	3047
Paco & Lola	3044
Santo Tomás	3038
Château Sociando-Mallet	3033
Lungarotti	3030
Massolino	3021
Matías Riccitelli	3015
Silverado Vineyards	3010
Rosemount	3009
Mount Veeder Winery	3005
Jacopo Biondi Santi	2997
Luis Pato	2995
Señorio de Los Llanos	2994
Bonacchi	2976
Château Léoville Barton	2975
Markus Molitor	2971
Château d'Issan	2970
Château de Meursault	2953
Le Grand Noir	2952
Flechas de los Andes	2943
Rocca Alata	2927
Château Bel-Air	2923
Herdade do Peso	2920
Château Gloria	2919
Sutter Home	2895
Volpaia	2893
Château Beychevelle	2891
Château Ducru-Beaucaillou	2890
Occhipinti	2883
Paul Mas	2873
Charles Krug	2869
Long Barn	2855
Castello di Monsanto	2840
Piattelli	2834
Livio Felluga	2830
Inama Azienda Agricola	2826
Dry Creek Vineyard	2822
Bottega	2811
Château de Seguin	2796
Kistler	2796
Prats & Symington (P+S)	2775
Villa al Cortile	2773
de Ladoucette	2768
Enate	2768
Misiones de Rengo	2767
Château Laroque	2764
Paul Hobbs	2763
Aldo Conterno	2762
Gérard Bertrand	2760
Paolo Scavino	2752
Weinert	2752
Predator	2750
Sterling Vineyards	2741
Animal	2731
Château Fombrauge	2724
Château Larose-Trintaudon	2723
Château Cantenac Brown	2722
Bisquertt Family Vineyards	2714
Zensa	2713
Caldora	2706
Telmo Rodriguez	2699
Falesco	2698
Sottano	2697
Finca Flichman	2689
Château Branaire-Ducru	2682
Sequoia Grove	2669
Cocobon	2665
Château d'Armailhac	2664
Bodegas Valduero	2662
Tinazzi	2653
The Wanted	2639
Château du Tertre	2624
Evodia	2617
Altos de Tamarón	2616
Bodegas San Román	2604
Arboleda	2599
Masseria Altemura	2598
Henri Bourgeois	2598
Biserno	2596
Castellani	2595
AR-Adega de Redondo	2590
Cepa 21	2588
Villa Puccini	2582
Via Latina	2580
Grand Theatre	2578
Arnaldo-Caprai	2578
Fairview	2575
Château Batailley	2566
Diemersfontein	2564
Quinta Nova de Nossa Senhora do Carmo	2551
Château Phélan Ségur	2538
Muriel	2534
Caliterra	2529
Jermann	2527
Pico Maccario	2527
Château Malartic-Lagravière	2525
Epicuro	2516
Cafaggio	2515
Bussola	2512
Gallo Family Vineyards	2511
Zonin	2507
Lamberti	2504
Monte Xanic	2499
Argento	2493
d'Arenberg	2492
Churchill's	2485
Bodegas Etchart	2480
Bressia	2476
Pegau	2474
Château Larrivet Haut-Brion	2463
Château Latour	2459
Chilano	2454
Bremerton	2449
Renieri	2442
Boschendal	2441
Peter Lehmann	2437
Santi	2436
Brites Aguiar	2426
Wyndham	2423
Castelli del Grevepesa	2421
Duorum	2419
Alto Moncayo	2418
Terre da Vino	2415
Sella & Mosca	2412
Smith & Hook	2410
Gran Feudo	2400
Quinta do Portal	2397
Lenotti	2394
Markham Vineyards	2393
Dal Forno Romano	2385
Eguía	2379
Inglenook	2378
Starborough	2368
Gazela	2364
Hedges Family Estate	2362
Château Montus	2360
Planeta	2355
Château St. Jean	2355
Château Haut-Brion	2354
Château Latour-Martillac	2352
Nervi	2348
Château Fuissé	2337
Vidal Fleury	2335
Corterosso	2327
Artadi	2323
Punica	2323
Mesta	2322
Mezzacorona	2322
Boscato	2322
Von Siebenthal	2314
Château Lafon-Rochet	2309
Chimney Rock	2304
Giesen	2303
Tenuta delle Terre Nere	2303
Viñas del Vero	2283
Donnafugata	2279
Bruno Giacosa	2272
Verrazzano	2272
Alceño	2268
Albert Bichot	2265
Domenico Clerico	2265
Domaine Tempier	2263
Château Kirwan	2259
Henschke	2256
Fattoria le Pupille	2249
Winzer Krems	2247
La Motte Wine Estate	2245
Williams Selyem	2242
Felton Road	2240
Michel Torino	2230
Kirkland Signature	2230
Pêra Grave	2228
Montevertine	2222
Domaine du Tariquet	2219
Château Prieuré-Lichine	2217
Masseria Trajone	2214
Château Belgrave	2204
Château de Camensac	2202
Santa Alicia	2199
Las Rocas	2197
Château Lynch-Moussas	2197
Chateau Souverain	2191
Château de la Gardine	2190
Château Angludet	2188
Salcheto	2185
Pahlmeyer	2184
Rustenberg	2184
Cordero di Montezemolo	2184
Domaine Antonin Guyon	2174
Speri	2168
Bobal de San Juan	2167
Elio Altare	2158
Tenute Silvio Nardi	2152
Corte alle Mura	2152
Lunaria	2143
Château Labégorce	2133
Ciacci Piccolomini d'Aragona	2132
Gourmet Pere & Fils	2131
Ponte Lungo	2131
Château Dauzac	2129
Quintessa	2127
Joseph Carr	2126
Tenuta Sette Ponti	2124
Perez Cruz	2121
Montalbera	2116
Château le Puy	2114
MontGras	2114
Château Guiraud	2112
Damilano	2105
Messias	2101
PlumpJack	2100
Campillo	2100
Terre di San Vincenzo	2095
Sandrone	2094
Charles & Charles	2093
Kenwood	2092
Clos Mogador	2089
Malhadinha Nova	2085
Don Laurindo	2082
Château La Tour Carnet	2079
Château Malescot St. Exupery	2079
Chanson	2074
Querciabella	2071
Dehesas Viejas	2070
Castiglion del Bosco	2068
Ronco di Sassi	2066
Marquês de Borba	2059
Coltibuono	2059
The Show	2057
The Four Graces	2053
Abel Pinchard	2051
Monte Zovo	2050
Duca di Saragnano	2042
Vecchia Cantina	2038
Château Tour Prignac	2038
Kloster Eberbach	2037
Farina	2026
Leeuwin Estate	2013
Baglio Gibellina	2002
Château Magnol	2000
Contessa Carola	1999
Cannonball	1990
Castello d'Alba	1987
Barba	1980
Italo Cescon	1979
Stellenrust	1971
Cellaro	1970
Bernardus	1965
Luigi Einaudi	1965
Cavallotto	1961
Badet Clement	1956
Château Bonnet	1956
Château Haut-Marbuzet	1953
Clos des Brusquieres	1951
The Naked Grape	1946
Finca Terranostra	1944
Château Poujeaux	1936
Benjamin de Rothschild-Vega Sicilia	1935
Cellier des Princes	1932
Finca Torremilanos	1931
Zonnebloem	1929
Groot Constantia	1924
Wirra Wirra	1922
Olivier Leflaive	1917
Alain Graillot	1916
Dr. Loosen	1915
Château La Lagune	1912
Sensi	1911
Schloss Vollrads	1910
Domaine Armand Rousseau	1909
Grattamacco	1903
Château Duhart-Milon	1900
Eikendal	1896
Tavernello	1896
Silverboom	1894
Coppo	1891
Schloss Johannisberg	1889
EnRoute	1888
Warwick	1886
Château Lilian Ladouys	1886
Les Jamelles	1883
Matrot	1882
Giacomo Conterno	1882
Boccantino	1880
Château La Tonnelle	1880
Peter Yealands	1868
Cellier des Dauphins	1867
Château Lafite Rothschild	1864
Oddero	1861
Terras d'el Rei	1860
Château Peyrabon	1857
Line 39	1856
Jean Leon	1851
Rawson's Retreat	1847
Honig	1839
Château Haut-Bages Libéral	1831
Exportación	1830
Château Gazin	1827
Baturrica	1826
Château Los Boldos	1823
Bellosguardo	1821
Jean-Claude Ramonet	1821
Alois Lageder	1819
Bodegas Santa Ana	1817
Siglo	1814
J. Moreau & Fils	1814
Château La Louvière	1812
Bodega La Milagrosa	1806
Venus la Universal	1803
Trefethen	1802
Campagnola	1802
Château Haut-Bailly	1801
Mas de Daumas Gassac	1799
Benziger	1797
Palazzo Maffei	1796
Château Meyney	1796
La Perrière	1794
Finca Constancia	1790
Château Recougne	1789
Rockford	1785
Padrillos	1783
Château Purcari	1782
Chozas Carrascal	1781
William Fèvre	1780
Columbia Winery	1774
Castello Pomino	1769
Baron d'Arignac	1769
Etude	1762
Talenti	1754
McGuigan	1750
Dopff & Irion	1750
Cave de Tain	1747
Tapiz	1744
Viña Albina	1742
Château Angelus	1741
Feudo Arancio	1736
Verso	1735
Le Ragose	1734
Domaine Huet	1734
Riunite	1732
Caprili	1727
Domaine de la Motte	1725
Alvarez de Toledo	1724
Vivanco	1722
Mauro Molino	1713
Nickel & Nickel	1703
Château Beaumont	1701
Château d'Arcins	1698
Bibi Graetz	1694
Château Figeac	1692
Lamole di Lamole	1688
Château de Pez	1688
La Compagnie des Vins d'Autrefois	1683
Frei Brothers	1683
Vinchio-Vaglio Serra	1679
Donatella Cinelli Colombini	1679
Scala Dei	1675
Rocca	1673
Egon Müller-Scharzhof	1673
Casale del Giglio	1672
Capannelle	1671
Dr. Bürklin-Wolf	1669
Grifone	1669
Chakana	1659
Château Greysac	1659
Casa Vinicola Bennati	1658
Poggio Al Casone	1656
Conterno Fantino	1656
Domaine Serene	1650
Toasted Head	1648
Château Cambon La Pelouse	1647
Mer Soleil	1645
Señorío de San Vicente	1644
William Hill	1643
Sokol Blosser	1641
Château La Tour de By	1641
Bonpas	1631
Clos des Papes (Paul Avril)	1631
Banrock Station	1631
Cadis	1630
Rust En Vrede	1629
Château La Tour de Mons	1629
Quarisa	1621
Cepa Lebrel	1618
Château Clerc Milon	1617
Château de Fieuzal	1615
Callia	1611
Château de Chantegrive	1610
Château Barreyres	1608
Domaine des Comtes Lafon	1607
Château Olivier	1606
Castell del Remei	1603
Château Grand-Puy Ducasse	1603
Poggio San Polo	1593
Enrique Mendoza	1593
Bosquet des Papes	1593
Château Le Crock	1591
Santa Maria La Palma	1590
Château Teyssier	1589
Remírez de Ganuza	1586
Château Ormes de Pez	1585
Piaggia	1580
HandCraft	1576
Mayor de Castilla	1575
Château Ferrande	1573
Leese-Fitch	1571
Castello di Querceto	1566
Familia Deicas	1565
Fritz Haag	1565
Adelsheim	1560
Ayuso	1560
Santa Sofia	1560
Casa de Santar	1556
Puerto Viejo	1554
Nuviana	1549
Château La Gaffelière	1548
Château d'Arsac	1543
Château Lanessan	1542
Zorzal	1542
SLO Down	1538
Fantinel	1530
Château Clinet	1530
UDACA	1528
Clos Saint Jean	1528
Schild Estate	1528
Rutherford Hill	1524
Alto Estate	1524
Cantina di Montalcino	1518
Château Pédesclaux	1513
Steakwine	1506
Vini Valli de Verona	1499
Château Pavie	1496
Blackstone	1496
Mascarello Giuseppe e Figlio	1492
Château de Saint Cosme	1491
Jam Shed	1491
Cheval Noir	1483
Quinta dos Carvalhais	1483
Breca	1482
Jean-Paul & Benoit Droin	1475
Hamilton Russell Vineyards	1475
Thelema	1474
Mongeard-Mugneret	1473
Neo	1473
Yves Cuilleron	1470
Scheiblhofer	1469
Lagar de Cervera	1468
Vincent Girardin	1467
Domaine de Beaurenard	1463
Tenuta di Nozzole	1461
Dominio de Tares	1460
Tenuta di Trinoro	1459
Château Fleur Cardinale	1458
Maison Gilliard	1457
Château La Mission Haut-Brion	1450
Domaine des Sénéchaux	1449
Château de Sancerre	1444
Conti Serristori	1444
Château de Rochemorin	1443
Château Haut-Batailley	1438
Rivera	1434
La Posta	1433
Chilensis	1432
Elio Grasso	1431
Charles de Rouvray	1431
Gamela	1430
Avalon	1428
Elk Cove	1425
Chappellet	1424
The Crossings	1423
Château de Pibarnon	1421
Estancia Mendoza	1421
Maycas del Limari	1419
Castillo San Simon	1418
Château Clarke	1417
Domaine William Fèvre	1415
Château Bellegrave	1415
Vale do Rodo	1415
Château Canon	1413
Berberana	1412
Rivetto	1410
Roc de Lussac	1410
Villa Sparina	1408
Viña Palo Alto	1407
Oak Ridge	1403
Rutherford Ranch	1401
COS	1401
Humberto Canale	1397
Monsaraz	1396
Château de Pressac	1396
Pittacum	1396
La Scolca	1395
Domaine Coche-Dury	1393
Palacio da Brejoeira	1387
ViñaPeña	1386
Borges	1385
Poggio Antico	1384
Vionta	1384
Alain Geoffroy	1382
Cape Heritage	1381
Don Luciano	1381
Fanti	1376
Masseto	1374
San Giusto a Rentennano	1373
BV Coastal Estates	1370
Château des Tours	1368
Loggia dei Sani	1368
Boscarelli	1366
La Poderina	1365
Château de Villemajou	1364
Capanna	1364
Evel	1363
Folie à Deux	1362
Plungerhead	1357
Segredos de São Miguel	1356
Uby	1355
Passeport	1353
Tapada do Chaves	1352
Brezza	1349
Vincent Dauvissat	1347
Domäne Wachau	1347
Clos La Coutale	1344
Delheim	1343
Château Maucaillou	1342
Firriato	1338
Château Reynon	1334
Erasmo	1332
Château Pey La Tour	1331
Brancaia	1330
Bosque de Matasnos	1328
Marcel Deiss	1326
Verosso	1325
Luzon	1324
Dr. Willkomm	1323
Etienne Sauzet	1320
Guaspari	1318
Sopra Sasso	1318
Castello di Bossi	1318
Carmim	1317
Almadén	1315
4 Kilos Vinícola	1313
Michel Lynch	1313
Landmark Vineyards	1312
De Martino	1312
C'est La Vie	1312
Flora Springs	1310
Château Sénéjac	1309
Gemma	1303
Château Cos Labory	1302
Locations	1302
Pewsey Vale	1302
Domaine des Héritiers Louis Jadot	1300
Monte dos Perdigoes	1298
Comm. G.B. Burlotto	1293
Château Cheval Blanc	1290
Château Paveil de Luze	1290
Domaine de la Janasse	1289
Château Beau-Site	1287
Château Simard	1287
Domaine de Pellehaut	1286
Le Macchiole	1285
Lisini	1284
Château Croix Mouton	1282
Dei	1278
Jean-Marc Brocard	1277
Marchesi di Gresy	1277
Labouré-Roi	1273
São João	1273
Château Timberlay	1271
Chamonix	1271
San Leonardo	1270
Valdicava	1269
Château Simone	1268
Cabreo	1263
Andean Vineyards	1261
Ontañón	1256
San Telmo	1255
Domaine Gros Frère et Soeur	1247
The Grinder	1247
Parusso	1246
Marqués de Griñon	1243
Astrolabe	1242
Radio Boca	1241
Domaine de la Solitude-Famille Lancon	1239
Nielson	1239
Carmelo Patti	1239
Castello dei Rampolla	1238
Portas da Herdade	1237
Grant Burge	1237
Maestro Italiano	1235
Bodega Elias Mora	1234
Ponzi	1232
Azienda Santa Barbara-Stefano Antonucci	1229
Domaine Dujac	1226
Fariña	1223
Tokara	1221
Berton Vineyard	1221
J. Hofstätter	1219
Château Malescasse	1218
Lanzerac	1218
Giacosa Fratelli	1217
Piteira	1214
Spy Valley	1212
Rocche dei Manzoni	1209
Cantine Paradiso	1209
Château de Parenchère	1206
Cantina Valpolicella Negrar	1203
Dönnhoff	1202
Fanagoria (Фанагория)	1202
Irony	1201
Château d'Agassac	1200
Château Langoa Barton	1198
Le Vieux Donjon	1198
Elderton	1197
Bodegas Vallobera	1197
Livio Pavese	1194
Pazo Señorans	1194
Bermejo	1193
Quinta da Alorna	1193
Château Coufran	1190
Méo-Camuzet	1190
Kleinood	1189
Château Troplong Mondot	1186
Château Poupille	1186
André Brunel	1183
Château d'Aiguilhe	1181
Castillo Santa Barbara	1181
Château de Sales	1180
Monkey Bay	1180
Viñedos de Páganos	1180
Château de Barbe Blanche	1178
Pago de Cirsus	1178
Didier Dagueneau (Louis-Benjamin Dagueneau)	1173
Château Cissac	1173
Villa Borghetti	1173
Canyon Road	1172
Château Lalande-Borie	1172
Vie di Romans	1171
Baron Edmond de Rothschild	1170
Antonin Rodet	1169
Domaine Trapet	1168
Yarra Yering	1168
Château Tayac	1167
Emidio Pepe	1166
Wongraven	1166
Round Hill	1165
Marques de Carano	1164
Nicolas Potel	1163
Val d'Orbieu	1163
Vinícola del Priorat	1159
Torre de Lancia	1158
Château Cantin	1157
Pedroncelli	1152
Château Beau-Sejour Becot	1149
Osborne	1143
Maison Barboulot	1142
Vistamar	1142
Trus	1139
Cabalié	1139
Château Ferrière	1136
Peuceta	1136
MacMurray	1136
Mount Eden Vineyards	1136
Castell'in Villa	1135
Château des Fines Roches	1135
Château Saint-Pierre	1133
Tribunal	1132
Château Blaignan	1131
Bodega Piedra Negra	1130
Martinez Lacuesta	1125
Pazo Barrantes	1124
Simonsig	1123
Patriarche Père & Fils	1123
Moss Roxx	1121
Dehesa de Los Canónigos	1120
Château de Chamirey	1119
Hartenberg	1118
Château La Dominique	1118
Château Durfort-Vivens	1118
Finca La Anita	1117
Quinta da Romaneira	1116
Valserrano	1115
Marquês de Marialva	1115
Château de Reignac	1115
Cadão	1114
Domaine Georges Vernay	1111
Bonny Doon	1111
Shannon Ridge	1107
Château de Tracy	1106
Château Faugères	1106
Isidro Milagro	1102
Castillo de Monseran	1101
Jacques-Frederic Mugnier	1099
Château de Cruzeau	1097
Domaine Jamet	1097
Fratelli Dogliani	1096
Quinta da Plansel	1094
Domaine A. et P. de Villaine	1094
Domaine de l'Hortus	1094
Les Portes de Bordeaux	1094
Château Caronne Ste. Gemme	1092
Vini La Quercia	1090
Arthur Metz	1090
Bodegas Piqueras	1088
Condes de Albarei	1087
Monte do Pintor	1087
Villa Poggio Salvi	1086
Domaine du Père Caboche	1084
Régnard	1082
Geografico	1082
Château Bernadotte	1079
López	1078
Jean-Luc Baldès	1077
Bellingham	1076
Viña Bujanda	1076
